demo_cat,demo_group,year,title,product_scenario,demand_scenario,refining_scenario,oil_price_scenario,scenario,scenario_title,sum_demo_emp,bau_sum_demo_emp,gap_emp,pop_2020,gap_emp_pc,gap_emp_pmil
DAC,dac,2020,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2184.78536455215,2383.99789961433,-199.212535062185,4904842,-4.06154846704918e-05,-40.6154846704918
DAC,dac,2020,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2383.99789961433,2383.99789961433,0,4904842,0,0
DAC,dac,2020,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2125.63171767662,2383.99789961433,-258.366181937717,4904842,-5.26757400009453e-05,-52.6757400009453
DAC,dac,2020,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2187.62315865789,2383.99789961433,-196.374740956449,4904842,-4.00369147378139e-05,-40.0369147378139
DAC,dac,2020,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2384.12619272851,2383.99789961433,0.128293114176813,4904842,2.61564213845855e-08,0.0261564213845855
DAC,dac,2020,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2128.46951178235,2383.99789961433,-255.528387831987,4904842,-5.20971700682686e-05,-52.0971700682686
DAC,dac,2020,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2184.78536455215,2383.99789961433,-199.212535062185,4904842,-4.06154846704918e-05,-40.6154846704918
DAC,dac,2020,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2383.99789961433,2383.99789961433,0,4904842,0,0
DAC,dac,2020,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2125.63171767662,2383.99789961433,-258.366181937717,4904842,-5.26757400009453e-05,-52.6757400009453
DAC,dac,2020,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2187.62315865789,2383.99789961433,-196.374740956449,4904842,-4.00369147378139e-05,-40.0369147378139
DAC,dac,2020,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2384.12619272851,2383.99789961433,0.128293114176813,4904842,2.61564213845855e-08,0.0261564213845855
DAC,dac,2020,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2128.46951178235,2383.99789961433,-255.528387831987,4904842,-5.20971700682686e-05,-52.0971700682686
DAC,dac,2021,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2175.64642412086,2396.24777162439,-220.601347503535,4904842,-4.49762392965023e-05,-44.9762392965023
DAC,dac,2021,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2396.24777162439,2396.24777162439,0,4904842,0,0
DAC,dac,2021,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2107.99918882913,2396.24777162439,-288.248582795264,4904842,-5.87681688411705e-05,-58.7681688411705
DAC,dac,2021,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2166.97478451636,2396.24777162439,-229.272987108031,4904842,-4.67442146165016e-05,-46.7442146165016
DAC,dac,2021,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2395.88015549233,2396.24777162439,-0.367616132064995,4904842,-7.49496379424649e-08,-0.0749496379424649
DAC,dac,2021,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2099.32754922463,2396.24777162439,-296.920222399765,4904842,-6.05361441611707e-05,-60.5361441611707
DAC,dac,2021,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2260.12225096957,2489.32038955139,-229.198138581825,4904842,-4.67289544865716e-05,-46.7289544865716
DAC,dac,2021,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2489.32038955139,2489.32038955139,0,4904842,0,0
DAC,dac,2021,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2189.83569061244,2489.32038955139,-299.484698938957,4904842,-6.10589900630759e-05,-61.0589900630759
