scen_id,demand_scenario,refining_scenario,demo_group,demo_cat,title,cumul_mort_level,cumul_mort_delta
BAU historic exports,BAU,historic exports,aialnative,Race,American Indian or Alaska Native,22.3560836179905,-3.17626931658979
BAU historic exports,BAU,historic exports,asian,Race,Asian,1537.50662754712,-300.853523617983
BAU historic exports,BAU,historic exports,black,Race,Black,892.722069230121,-158.572059245195
BAU historic exports,BAU,historic exports,dac,DAC,DAC,3550.55140279453,-731.468382557378
BAU historic exports,BAU,historic exports,hawaiian_pacisl,Race,Hawaiian or Other Pacific Islander,36.9629636791791,-6.29794376603739
BAU historic exports,BAU,historic exports,hispanic,Race,Hispanic,3833.89159898743,-760.482826532159
BAU historic exports,BAU,historic exports,non_dac,DAC,Non-DAC,5647.20193290703,-936.601862357412
BAU historic exports,BAU,historic exports,nonh_other,Race,Other (Non-Hispanic),47.69886409505,-7.60307264686484
BAU historic exports,BAU,historic exports,nonh_two_or_more,Race,Two or more races (Non-Hispanic),280.06917636598,-42.1243562437109
BAU historic exports,BAU,historic exports,total_above_poverty,Poverty,Above poverty line,7783.60026302706,-1413.06503289586
BAU historic exports,BAU,historic exports,total_below_poverty,Poverty,Below poverty line,1414.15307267451,-255.005212018927
BAU historic exports,BAU,historic exports,white,Race,white,2546.54595217869,-388.96019354625
BAU historic production,BAU,historic production,aialnative,Race,American Indian or Alaska Native,25.5520804275955,0
BAU historic production,BAU,historic production,asian,Race,Asian,1839.8720184536,0
BAU historic production,BAU,historic production,black,Race,Black,1052.57082985374,0
BAU historic production,BAU,historic production,dac,DAC,DAC,4287.13650190589,0
BAU historic production,BAU,historic production,hawaiian_pacisl,Race,Hawaiian or Other Pacific Islander,43.3214238693357,0
BAU historic production,BAU,historic production,hispanic,Race,Hispanic,4599.16625373233,0
BAU historic production,BAU,historic production,non_dac,DAC,Non-DAC,6588.31213362692,0
BAU historic production,BAU,historic production,nonh_other,Race,Other (Non-Hispanic),55.344516919174,0
BAU historic production,BAU,historic production,nonh_two_or_more,Race,Two or more races (Non-Hispanic),322.436238979658,0
BAU historic production,BAU,historic production,total_above_poverty,Poverty,Above poverty line,9204.73901011238,0
BAU historic production,BAU,historic production,total_below_poverty,Poverty,Below poverty line,1670.70962542044,0
BAU historic production,BAU,historic production,white,Race,white,2937.18527329737,0
BAU low exports,BAU,low exports,aialnative,Race,American Indian or Alaska Native,20.1966437631019,-5.32558510613883
BAU low exports,BAU,low exports,asian,Race,Asian,1384.78947285439,-452.844618827449
BAU low exports,BAU,low exports,black,Race,Black,818.376440578855,-232.384448730014
BAU low exports,BAU,low exports,dac,DAC,DAC,3248.64328088472,-1031.34935168396
BAU low exports,BAU,low exports,hawaiian_pacisl,Race,Hawaiian or Other Pacific Islander,33.2413968742375,-9.9919846631915
BAU low exports,BAU,low exports,hispanic,Race,Hispanic,3490.17981230106,-1102.21037942004
BAU low exports,BAU,low exports,non_dac,DAC,Non-DAC,5084.91435121713,-1496.51845294842
BAU low exports,BAU,low exports,nonh_other,Race,Other (Non-Hispanic),43.2817291130026,-11.9974294641554
BAU low exports,BAU,low exports,nonh_two_or_more,Race,Two or more races (Non-Hispanic),252.876734503026,-69.1843973366114
BAU low exports,BAU,low exports,total_above_poverty,Poverty,Above poverty line,7045.817406689,-2147.12084356645
BAU low exports,BAU,low exports,total_below_poverty,Poverty,Below poverty line,1287.74022541285,-380.746961065926
BAU low exports,BAU,low exports,white,Race,white,2290.61540211419,-643.928961084775
LC1 historic exports,LC1,historic exports,aialnative,Race,American Indian or Alaska Native,18.1638364847797,-7.34930564988229
LC1 historic exports,LC1,historic exports,asian,Race,Asian,1238.71844682965,-598.250581832655
LC1 historic exports,LC1,historic exports,black,Race,Black,735.811466054172,-314.362876883233
LC1 historic exports,LC1,historic exports,dac,DAC,DAC,2898.98711197904,-1378.7298343995
LC1 historic exports,LC1,historic exports,hawaiian_pacisl,Race,Hawaiian or Other Pacific Islander,29.9043721285372,-13.30460470813
LC1 historic exports,LC1,historic exports,hispanic,Race,Hispanic,3121.10597025724,-1469.19684320025
LC1 historic exports,LC1,historic exports,non_dac,DAC,Non-DAC,4574.17177202375,-2005.25902537087
LC1 historic exports,LC1,historic exports,nonh_other,Race,Other (Non-Hispanic),39.0271823423359,-16.2310533438505
LC1 historic exports,LC1,historic exports,nonh_two_or_more,Race,Two or more races (Non-Hispanic),228.045625666601,-93.9010603765614
LC1 historic exports,LC1,historic exports,total_above_poverty,Poverty,Above poverty line,6321.44989220402,-2867.91391768934
LC1 historic exports,LC1,historic exports,total_below_poverty,Poverty,Below poverty line,1151.70899179876,-516.074942081022
LC1 historic exports,LC1,historic exports,white,Race,white,2062.38198423946,-871.392533775802
LC1 historic production,LC1,historic production,aialnative,Race,American Indian or Alaska Native,25.5833902713059,0.031176386387455
LC1 historic production,LC1,historic production,asian,Race,Asian,1841.97913741835,2.09784528517886
LC1 historic production,LC1,historic production,black,Race,Black,1053.68982788136,1.11175661844413
LC1 historic production,LC1,historic production,dac,DAC,DAC,4291.70595128783,4.54159487370476
LC1 historic production,LC1,historic production,hawaiian_pacisl,Race,Hawaiian or Other Pacific Islander,43.3727841628284,0.0510113941918023
LC1 historic production,LC1,historic production,hispanic,Race,Hispanic,4604.2138653879,5.02042072460753
LC1 historic production,LC1,historic production,non_dac,DAC,Non-DAC,6595.94626201685,7.60360854129877
LC1 historic production,LC1,historic production,nonh_other,Race,Other (Non-Hispanic),55.4047877698157,0.0599946472826699
LC1 historic production,LC1,historic production,nonh_two_or_more,Race,Two or more races (Non-Hispanic),322.810366263409,0.372445429108583
LC1 historic production,LC1,historic production,total_above_poverty,Poverty,Above poverty line,9215.08850563183,10.3002131881945
LC1 historic production,LC1,historic production,total_below_poverty,Poverty,Below poverty line,1672.56370767286,1.84499022680903
LC1 historic production,LC1,historic production,white,Race,white,2940.59805414971,3.40055292980251
LC1 low exports,LC1,low exports,aialnative,Race,American Indian or Alaska Native,16.2763820065349,-9.22929802470398
LC1 low exports,LC1,low exports,asian,Race,Asian,1115.8875837505,-720.590845896438
LC1 low exports,LC1,low exports,black,Race,Black,645.278392239133,-404.319681693663
LC1 low exports,LC1,low exports,dac,DAC,DAC,2555.2465847626,-1720.4281780414
LC1 low exports,LC1,low exports,hawaiian_pacisl,Race,Hawaiian or Other Pacific Islander,27.1480713453934,-16.0437493313591
LC1 low exports,LC1,low exports,hispanic,Race,Hispanic,2775.09187361061,-1813.38817589672
LC1 low exports,LC1,low exports,non_dac,DAC,Non-DAC,4109.74474749381,-2468.05831752184
LC1 low exports,LC1,low exports,nonh_other,Race,Other (Non-Hispanic),34.821089784892,-20.418303251829
LC1 low exports,LC1,low exports,nonh_two_or_more,Race,Two or more races (Non-Hispanic),203.989445854784,-117.859015041676
LC1 low exports,LC1,low exports,total_above_poverty,Poverty,Above poverty line,5647.76872677107,-3538.57277983854
LC1 low exports,LC1,low exports,total_below_poverty,Poverty,Below poverty line,1017.22260548535,-649.91371572469
LC1 low exports,LC1,low exports,white,Race,white,1846.49849366458,-1086.63742642685
